SKU,Nazwa,Opis,Cena_brutto,VAT,Stan_magazynowy,Kategoria,Marka,Status,Zdjęcie_1,Zdjęcie_2,Zdjęcie_3,Zakres_wagowy,Podkategoria,Zamówienia_telefoniczne
lyzka-kopiaca-60cm-3-5t,Łyżka kopiąca 60cm (3-5t),"Łyżka kopiąca 60cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2361.6,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/f2c84a7feffbf98aee177fdf9f7d02a916779bb0-1426x1262.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-70cm-1-1.5t,Łyżka kopiąca 70cm (1-1.5t),"Łyżka kopiąca 70cm do maszyn 1-1.5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1156.2,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/ad997bd0cbc49ce512b5c2e0fcf50d06ea8af4dc-1484x980.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-70cm-3-5t,Łyżka kopiąca 70cm (3-5t),"Łyżka kopiąca 70cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2435.4,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/f2c84a7feffbf98aee177fdf9f7d02a916779bb0-1426x1262.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-80cm-2.3-3t,Łyżka kopiąca 80cm (2.3-3t),"Łyżka kopiąca 80cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1709.7,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/3af400db642c50626917a1b75d702436217861df-3515x1628.webp,,,,lyzki-kopiace,Nie
lyzka-kopiaca-80cm-3-5t,Łyżka kopiąca 80cm (3-5t),"Łyżka kopiąca 80cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2558.4,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/c3a3028b4ca999c80d2aad4bd495166147995355-1503x1221.png,,,,lyzki-kopiace,Nie
lyzka-kopiaca-90cm-3-5t,Łyżka kopiąca 90cm (3-5t),"Łyżka kopiąca 90cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Opcjonalnie: zęby, spód Hardox HB500.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2792.1,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/c3a3028b4ca999c80d2aad4bd495166147995355-1503x1221.png,,,,lyzki-kopiace,Nie
lyzka-skarpowa-100cm-1-1.5t,Łyżka skarpowa 100cm (1-1.5t),"Łyżka skarpowa 100cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1279.2,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/2ede9dbf174730473b4df7e47092d41b834ad68c-1484x980.jpg,,,,lyzki-skarpowe,Nie
lyzka-skarpowa-120cm-1.5-2.3t,Łyżka skarpowa 120cm (1.5-2.3t),"Łyżka skarpowa 120cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1906.5,23,5,Łyżki kat. 1.5-2.3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/e761f4bbeb4ef263c35fe303a5c9713d20e044c2-1600x741.jpg,,,,lyzki-skarpowe,Nie
lyzka-skarpowa-120cm-2.3-3t,Łyżka skarpowa 120cm (2.3-3t),"Łyżka skarpowa 120cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1906.5,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/d59355412b88368e18b8eb2b7a503b962d1abac6-1600x756.jpg,,,,lyzki-skarpowe,Nie
lyzka-skarpowa-120cm-3-5t,Łyżka skarpowa 120cm (3-5t),"Łyżka skarpowa 120cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2570.7,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/356009bed6955d53177c7feda5109e19e06270af-1600x756.jpg,,,,lyzki-skarpowe,Nie
lyzka-skarpowa-130cm-1.5-2.3t,Łyżka skarpowa 130cm (1.5-2.3t),"Łyżka skarpowa 130cm do maszyn 1.5-2.3t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2066.4,23,5,Łyżki kat. 1.5-2.3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/e761f4bbeb4ef263c35fe303a5c9713d20e044c2-1600x741.jpg,,,,lyzki-skarpowe,Nie
lyzka-skarpowa-130cm-2.3-3t,Łyżka skarpowa 130cm (2.3-3t),"Łyżka skarpowa 130cm do maszyn 2.3-3t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2066.4,23,5,Łyżki kat. 2.3-3 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/d59355412b88368e18b8eb2b7a503b962d1abac6-1600x756.jpg,,,,lyzki-skarpowe,Nie
lyzka-skarpowa-150cm-3-5t,Łyżka skarpowa 150cm (3-5t),"Łyżka skarpowa 150cm do maszyn 3-5t. Lemiesz tnący 150×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",2706,23,5,Łyżki kat. 3-5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/399d1d8d1a3da3c64d5e102256b4add8844f1d8d-1600x756.jpg,,,,lyzki-skarpowe,Nie
lyzka-skarpowa-80cm-1-1.5t,Łyżka skarpowa 80cm (1-1.5t),"Łyżka skarpowa 80cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1193.1,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/485e39b413165b02fb5502a205798ca722c60e87-1484x980.webp,,,,lyzki-skarpowe,Nie
lyzka-skarpowa-90cm-1-1.5t,Łyżka skarpowa 90cm (1-1.5t),"Łyżka skarpowa 90cm do maszyn 1-1.5t. Lemiesz tnący 110×16mm Hardox HB500. Typ skarpowy.

🚚 **Szybka dostawa:** Produkty dostępne na magazynie - wysyłka w ciągu 24h od potwierdzenia zamówienia. Gwarantujemy dostawę w 48h na terenie całej Polski.",1230,23,5,Łyżki kat. 1-1.5 Tony,MiniTeamProject,new,https://cdn.sanity.io/images/3a7q0xhj/production/c7ddbc3eb8d40de75e3fdd974c1b2c09caeda9c7-1484x980.webp,,,,lyzki-skarpowe,Nie
